gateway-1  | {"time":"2026-06-06T18:07:24.71469913Z","level":"INFO","msg":"otel bootstrap disabled","service_name":"inference-serving-gateway"}
gateway-1  | {"time":"2026-06-06T18:07:24.717738172Z","level":"INFO","msg":"gateway starting","listen_addr":":8080","upstream_base_url":"http://server:8000","otel_enabled":false,"otel_service_name":"inference-serving-gateway"}
gateway-1  | {"time":"2026-06-06T18:07:24.945126547Z","level":"INFO","msg":"gateway request","request_id":"6f197ba9-6d47-4dfe-a2d5-ade80989ba51","trace_id":"5cf0feff-0233-4636-861e-eb4d1758cee0","route":"healthz","method":"GET","status_code":200,"latency_ms":0,"bytes_written":16,"upstream_host":"server:8000"}
gateway-1  | {"time":"2026-06-06T18:07:24.97477488Z","level":"INFO","msg":"gateway request","request_id":"cedcf97f-d19a-409e-a44b-b659cfc70315","trace_id":"a950b286-5db1-44d0-a847-107df3b1ffa1","route":"readyz","method":"GET","status_code":200,"latency_ms":16,"bytes_written":19,"upstream_host":"server:8000"}
gateway-1  | {"time":"2026-06-06T18:07:25.028958213Z","level":"INFO","msg":"gateway request","request_id":"a5705421-63cd-4c58-8669-90c79fdc0501","trace_id":"cb5ce775-aa80-47e2-b94b-a0d8061b8967","route":"healthz","method":"GET","status_code":200,"latency_ms":0,"bytes_written":16,"upstream_host":"server:8000"}
gateway-1  | {"time":"2026-06-06T18:07:25.233044214Z","level":"INFO","msg":"gateway request","request_id":"integration-obs-request-1","trace_id":"integration-obs-trace-1","route":"extract","method":"POST","status_code":200,"latency_ms":175,"bytes_written":180,"upstream_host":"server:8000"}
gateway-1  | {"time":"2026-06-06T18:07:25.297348214Z","level":"INFO","msg":"gateway request","request_id":"integration-obs-request-2","trace_id":"integration-obs-trace-2","route":"extract_jobs","method":"POST","status_code":202,"latency_ms":10,"bytes_written":258,"upstream_host":"server:8000"}
gateway-1  | {"time":"2026-06-06T18:07:25.388371214Z","level":"INFO","msg":"gateway request","request_id":"integration-obs-request-3","trace_id":"integration-obs-trace-2","route":"job_status","method":"GET","status_code":200,"latency_ms":21,"bytes_written":296,"upstream_host":"server:8000"}
gateway-1  | {"time":"2026-06-06T18:07:25.713079255Z","level":"INFO","msg":"gateway request","request_id":"integration-obs-request-3","trace_id":"integration-obs-trace-2","route":"job_status","method":"GET","status_code":200,"latency_ms":7,"bytes_written":327,"upstream_host":"server:8000"}
gateway-1  | {"time":"2026-06-06T18:07:26.040495964Z","level":"INFO","msg":"gateway request","request_id":"integration-obs-request-3","trace_id":"integration-obs-trace-2","route":"job_status","method":"GET","status_code":200,"latency_ms":6,"bytes_written":442,"upstream_host":"server:8000"}
gateway-1  | {"time":"2026-06-06T18:07:26.136017422Z","level":"INFO","msg":"gateway request","request_id":"3451fb12-bf18-4067-864e-f58be8aa1a5c","trace_id":"3fab2e4d-e94d-4f71-a67d-45bd69a7a6de","route":"metrics","method":"GET","status_code":200,"latency_ms":7,"bytes_written":12808,"upstream_host":"server:8000"}
